id,overall_engagament_rate,likes_rate,comments_rate,shares_rate,avg_views,avg_likes,avg_comments,avg_shares,engagement_rates,views,likes,comments,shares,hashtags,mentions,createtimes
1,3.46,3.38,0.01,0.07,76005,2569,10,50,"[1.86, 3.7, 3.64, 2.78, 5.23, 0.6, 5.88, 2.72, 5.47, 3.36, 7.3, 5.01, 8.58, 5.02, 3.6]","[72031, 6298, 111879, 46972, 35699, 289252, 74287, 9364, 204472, 1874, 8493, 1658, 7224, 32522, 140280]","[1335, 232, 4052, 1303, 1832, 1687, 4317, 243, 11118, 63, 614, 82, 616, 1627, 4914]","[2, 0, 3, 0, 9, 7, 7, 1, 43, 0, 4, 0, 0, 2, 83]","[3, 1, 21, 4, 26, 31, 44, 11, 27, 0, 2, 1, 4, 5, 55]","[8, 4, 7, 7, 2, 2, 2, 3, 0, 1, 1, 2, 1, 5, 1]","[1, 1, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['07/28/2023 05:03PM', '07/29/2023 05:51PM', '07/29/2023 08:45PM', '07/30/2023 08:24PM', '07/31/2023 01:22AM', '07/31/2023 05:34PM', '08/02/2023 06:53PM', '08/03/2023 07:51PM', '08/06/2023 08:52PM', '08/09/2023 12:06PM', '08/09/2023 11:14PM', '08/10/2023 05:14PM', '08/10/2023 08:06PM', '08/11/2023 10:39AM', '08/13/2023 12:07PM']"
2,11.73,11.64,0.02,0.07,176198,20517,38,121,"[13.25, 12.83, 13.61, 15.92, 4.55, 15.77, 8.66, 12.63, 15.4, 7.19, 16.22, 13.46, 11.59, 11.06, 13.63]","[376932, 478382, 364280, 237390, 378887, 66415, 216236, 39666, 36918, 344652, 268797, 26128, 171124, 28411, 11734]","[49645, 60847, 49093, 37634, 16726, 10426, 18687, 4998, 5664, 24455, 43469, 3509, 19705, 3130, 1580]","[150, 94, 71, 65, 53, 33, 25, 6, 13, 34, 32, 3, 31, 7, 11]","[146, 438, 399, 101, 460, 14, 19, 7, 9, 298, 110, 4, 96, 6, 9]","[1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","['08/09/2023 10:12AM', '08/09/2023 07:09PM', '08/09/2023 09:21PM', '08/10/2023 12:08AM', '08/10/2023 11:21AM', '08/10/2023 10:26PM', '08/11/2023 02:08PM', '08/11/2023 08:53PM', '08/12/2023 12:55PM', '08/12/2023 05:13PM', '08/13/2023 10:34AM', '08/13/2023 04:58PM', '08/13/2023 10:14PM', '08/14/2023 12:02PM', '08/14/2023 06:12PM']"
3,12.06,11.82,0.08,0.16,437599,51731,332,716,"[10.94, 10.28, 8.94, 11.67, 12.17, 11.92, 6.14, 21.15, 10.06, 7.04, 11.71, 12.51, 12.95, 12.29, 18.14]","[208520, 271578, 314331, 276205, 286133, 716362, 1211969, 1603680, 179429, 742773, 344856, 384384, 183804, 123620, 129530]","[22743, 27843, 27984, 31853, 34751, 84091, 73585, 323961, 17926, 51823, 40076, 47626, 23706, 14945, 23349]","[23, 41, 40, 85, 23, 132, 376, 5115, 38, 350, 134, 117, 38, 113, 79]","[48, 42, 81, 298, 50, 1179, 455, 10104, 82, 141, 178, 334, 51, 129, 74]","[3, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['08/03/2023 03:41PM', '08/03/2023 07:06PM', '08/04/2023 07:01PM', '08/05/2023 12:04PM', '08/06/2023 02:32PM', '08/06/2023 09:01PM', '08/07/2023 11:59AM', '08/07/2023 04:49PM', '08/08/2023 06:16PM', '08/10/2023 02:01PM', '08/10/2023 04:58PM', '08/11/2023 02:59PM', '08/12/2023 03:47PM', '08/13/2023 06:25PM', '08/14/2023 05:50PM']"
4,11.48,11.28,0.05,0.15,78575,8866,35,117,"[10.23, 12.03, 3.73, 17.24, 13.24, 21.13, 7.75, 9.84, 12.45, 4.48, 19.03, 2.35, 9.51, 4.45, 23.71]","[16113, 101446, 10599, 56656, 37341, 95251, 21414, 96444, 113027, 305667, 156424, 71444, 20515, 136067, 167340]","[1642, 12109, 394, 9676, 4849, 19629, 1649, 9407, 14031, 13657, 28801, 1670, 1944, 6050, 38713]","[3, 50, 1, 11, 17, 86, 6, 45, 14, 4, 310, 3, 5, 0, 92]","[4, 43, 0, 81, 79, 411, 4, 41, 29, 27, 657, 4, 2, 5, 866]","[0, 2, 4, 5, 8, 6, 4, 4, 6, 3, 7, 2, 2, 2, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1]","['08/03/2023 04:07PM', '08/03/2023 11:10PM', '08/04/2023 11:38PM', '08/05/2023 09:20PM', '08/06/2023 09:01PM', '08/06/2023 10:46PM', '08/07/2023 10:28PM', '08/08/2023 08:15AM', '08/08/2023 05:02PM', '08/09/2023 05:10PM', '08/09/2023 08:31PM', '08/11/2023 09:17AM', '08/11/2023 02:07PM', '08/11/2023 04:35PM', '08/14/2023 01:14PM']"
5,7.41,7.32,0.03,0.06,115569,8463,31,70,"[7.4, 5.07, 9.03, 6.44, 12.3, 6.26, 4.62, 10.76, 7.9, 14.61, 6.43, 2.98, 13.32, 9.66, 8.97]","[276808, 553586, 18651, 140822, 115285, 118334, 16930, 117723, 26509, 98973, 8169, 181807, 42310, 53244, 7582]","[20414, 27606, 1664, 8931, 14134, 7287, 768, 12613, 2056, 14425, 519, 5312, 5543, 5113, 654]","[33, 148, 17, 54, 33, 31, 2, 22, 35, 19, 2, 17, 21, 16, 27]","[50, 332, 3, 87, 17, 93, 13, 35, 4, 16, 4, 86, 74, 11, 0]","[2, 3, 3, 0, 3, 1, 3, 4, 1, 1, 3, 3, 0, 1, 1]","[1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","['08/04/2023 04:11PM', '08/04/2023 06:11PM', '08/06/2023 08:34AM', '08/07/2023 04:46PM', '08/07/2023 06:01PM', '08/07/2023 08:49PM', '08/08/2023 07:05PM', '08/10/2023 02:11PM', '08/10/2023 06:19PM', '08/12/2023 03:02PM', '08/12/2023 03:42PM', '08/13/2023 11:09AM', '08/13/2023 08:09PM', '08/13/2023 10:57PM', '08/14/2023 06:08PM']"
6,5.51,5.44,0.03,0.04,157265,8557,47,55,"[3.39, 9.63, 3.44, 2.37, 4.22, 7.83, 1.79, 5.65, 6.87, 8.33, 2.62, 2.77, 4.46, 5.68, 2.19]","[13354, 196423, 13919, 7927, 13033, 1258042, 10980, 83902, 11804, 10772, 6000, 21720, 13963, 2784, 1048]","[450, 18831, 474, 187, 544, 97090, 188, 4714, 809, 892, 154, 593, 619, 157, 23]","[2, 45, 2, 0, 5, 666, 0, 5, 2, 3, 0, 2, 2, 0, 0]","[1, 41, 3, 1, 1, 796, 9, 19, 0, 2, 3, 7, 2, 1, 0]","[10, 2, 5, 4, 3, 8, 3, 6, 10, 0, 5, 5, 5, 3, 3]","[0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]","['07/31/2023 11:52AM', '07/31/2023 01:07PM', '07/31/2023 08:55PM', '08/03/2023 03:48PM', '08/03/2023 04:34PM', '08/03/2023 06:26PM', '08/04/2023 12:33PM', '08/05/2023 06:19PM', '08/05/2023 07:07PM', '08/07/2023 11:45AM', '08/07/2023 06:36PM', '08/07/2023 06:52PM', '08/10/2023 09:07PM', '08/12/2023 01:00PM', '08/14/2023 04:17PM']"
7,10.42,10.27,0.04,0.11,246926,25365,95,270,"[8.34, 10.21, 13.05, 12.95, 8.72, 13.56, 8.19, 13.52, 8.35, 8.85, 7.89, 14.72, 16.91, 5.73, 8.68]","[117903, 435721, 232468, 130669, 57727, 236668, 339396, 282960, 47532, 1150274, 449544, 309539, 105843, 44301, 17365]","[9797, 43842, 29630, 16870, 4982, 31579, 27439, 37980, 3936, 100350, 35018, 45095, 17834, 2522, 1495]","[15, 83, 316, 22, 16, 187, 71, 164, 23, 333, 191, 295, 25, 6, 10]","[27, 565, 399, 23, 33, 318, 287, 104, 11, 1083, 238, 180, 43, 11, 3]","[1, 3, 0, 0, 0, 0, 4, 1, 0, 0, 2, 0, 6, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]","['08/02/2023 05:41PM', '08/04/2023 06:46PM', '08/05/2023 06:47PM', '08/06/2023 01:54PM', '08/06/2023 06:24PM', '08/08/2023 07:13PM', '08/09/2023 05:32PM', '08/10/2023 05:22PM', '08/10/2023 08:29PM', '08/11/2023 05:26PM', '08/11/2023 07:04PM', '08/12/2023 04:22PM', '08/12/2023 05:32PM', '08/13/2023 07:45PM', '08/14/2023 01:00PM']"
8,6.63,6.41,0.03,0.19,244981,15706,84,468,"[1.05, 6.76, 3.51, 1.4, 15.52, 13.03, 8.55, 8.98, 10.03, 8.45, 6.22, 9.26, 5.32, 5.53, 9.17]","[409516, 356649, 92301, 1477171, 496698, 506087, 165512, 150440, 220793, 236113, 124314, 836349, 6208, 43456, 32116]","[4210, 23066, 3177, 20415, 72342, 63470, 14099, 13387, 21405, 19117, 7633, 75694, 318, 2346, 2872]","[13, 698, 24, 97, 390, 162, 25, 34, 122, 70, 47, 175, 4, 16, 26]","[61, 352, 35, 107, 4332, 2306, 33, 94, 626, 761, 57, 1603, 8, 42, 45]","[9, 5, 11, 7, 5, 10, 8, 9, 5, 8, 5, 8, 5, 8, 9]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['08/01/2023 07:38PM', '08/01/2023 11:13PM', '08/02/2023 11:39PM', '08/03/2023 06:13PM', '08/03/2023 08:34PM', '08/04/2023 05:33PM', '08/05/2023 06:55PM', '08/06/2023 06:06PM', '08/07/2023 06:46PM', '08/08/2023 07:27PM', '08/10/2023 06:12PM', '08/11/2023 05:52PM', '08/12/2023 07:24PM', '08/13/2023 05:56PM', '08/14/2023 06:16PM']"
9,5.59,5.48,0.04,0.07,81522,4469,34,53,"[5.74, 6.41, 2.97, 12.07, 8.01, 5.55, 5.94, 4.68, 9.47, 4.53, 8.89, 4.08, 6.89, 1.74, 7.47]","[156596, 883364, 10204, 27265, 10659, 9278, 20608, 16307, 4257, 3732, 67244, 7567, 1465, 111725, 4152]","[8355, 56077, 288, 3205, 824, 498, 1210, 735, 395, 166, 5714, 307, 101, 1934, 307]","[92, 280, 11, 38, 18, 10, 8, 10, 7, 2, 117, 1, 0, 1, 2]","[539, 225, 4, 48, 12, 7, 6, 18, 1, 1, 148, 1, 0, 4, 1]","[1, 3, 2, 7, 4, 4, 4, 5, 2, 1, 4, 5, 2, 5, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['08/02/2023 09:05PM', '08/02/2023 10:46PM', '08/03/2023 05:03PM', '08/03/2023 07:53PM', '08/04/2023 08:45PM', '08/05/2023 08:35PM', '08/06/2023 01:12PM', '08/07/2023 07:13PM', '08/09/2023 01:26AM', '08/09/2023 07:48PM', '08/10/2023 09:01PM', '08/11/2023 06:49PM', '08/12/2023 02:29PM', '08/12/2023 08:28PM', '08/13/2023 08:36PM']"
10,6.64,6.45,0.01,0.18,212944,13735,22,392,"[2.23, 0.89, 8.39, 12.09, 8.97, 12.24, 8.81, 21.26, 15.39, 12.23, 20.59, 10.39, 6.09, 12.44, 3.94]","[6821, 2139964, 18255, 301388, 22253, 238098, 86688, 68941, 61429, 18531, 70314, 37586, 602625, 571481, 22678]","[138, 18759, 1505, 36268, 1669, 28218, 7335, 14466, 9330, 2154, 14291, 3358, 34940, 69878, 880]","[9, 138, 0, 38, 6, 22, 16, 13, 14, 7, 4, 4, 41, 91, 0]","[5, 137, 27, 145, 322, 899, 282, 177, 108, 105, 183, 545, 1731, 1121, 14]","[8, 9, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['08/04/2023 01:23PM', '08/04/2023 05:22PM', '08/05/2023 12:11PM', '08/06/2023 12:18PM', '08/07/2023 01:35PM', '08/08/2023 01:29PM', '08/09/2023 01:40PM', '08/09/2023 06:47PM', '08/10/2023 12:00PM', '08/11/2023 12:37PM', '08/12/2023 01:12PM', '08/13/2023 11:54AM', '08/13/2023 01:20PM', '08/13/2023 05:42PM', '08/14/2023 11:53AM']"
